GEN,thirty_degree
Ahrweiler,0.6153846153846154
Aichach-Friedberg,1.25
Alb-Donau-Kreis,1.3181818181818181
Altenburger Land,6.8
Altenkirchen (Westerwald),0.07692307692307694
Altmarkkreis Salzwedel,2.064516129032258
Altötting,1.75
Alzey-Worms,7.545454545454546
Amberg,1
Amberg-Sulzbach,0.75
Ammerland,0.08333333333333331
Anhalt-Bitterfeld,9.826086956521738
Ansbach,2.225806451612903
Aschaffenburg,1.8125
Augsburg,1.4090909090909092
Aurich,0.0909090909090909
Bad Dürkheim,3.9
Bad Kissingen,0.6111111111111112
Bad Kreuznach,1.1538461538461537
Bad Tölz-Wolfratshausen,0.6428571428571429
Baden-Baden,4
Bamberg,1.2173913043478262
Barnim,5.15
Bautzen,5.4
Bayreuth,0
Berchtesgadener Land,0.625
Bergstraße,3.857142857142857
Berlin,11.538461538461538
Bernkastel-Wittlich,0.2352941176470588
Biberach,1.1363636363636365
Bielefeld,0
Birkenfeld,0.25
Böblingen,4.916666666666667
Bochum,3
Bodenseekreis,1.6363636363636362
Bonn,2.75
Börde,3.96875
Borken,1.5263157894736843
Bottrop,4
Brandenburg an der Havel,9.625
Braunschweig,2.5
Breisgau-Hochschwarzwald,1.6111111111111114
Bremen,1.0833333333333333
Bremerhaven,0
Burgenlandkreis,7.636363636363637
Calw,1.8333333333333335
Celle,0.6190476190476193
Cham,0.8823529411764706
Chemnitz,1.2
Cloppenburg,0.7391304347826088
Coburg,0.41666666666666663
Cochem-Zell,0.16666666666666669
Coesfeld,1.473684210526316
Cottbus,10.6
Cuxhaven,0.04166666666666668
Dachau,1.1818181818181819
Dahme-Spreewald,11.193548387096774
Darmstadt,5.25
Darmstadt-Dieburg,4
Deggendorf,1.3076923076923077
Delmenhorst,1.25
Dessau-Roßlau,8
Diepholz,1.3928571428571428
Dillingen a.d. Donau,2
Dingolfing-Landau,1.8666666666666667
Dithmarschen,0
Donau-Ries,2
Donnersbergkreis,3.75
Dortmund,2.6
Dresden,5.428571428571429
Duisburg,4.625
Düren,2.8666666666666663
Düsseldorf,3.6666666666666665
Ebersberg,1.8
Eichsfeld,0
Eichstätt,1
Eifelkreis Bitburg-Prüm,0.16666666666666669
Eisenach,0
Elbe-Elster,10.56
Emden,0
Emmendingen,2.75
Emsland,0.8484848484848484
Ennepe-Ruhr-Kreis,0.4000000000000001
Enzkreis,5.1
Erding,1.3846153846153846
Erfurt,2
Erlangen,2
Erlangen-Höchstadt,1.75
Erzgebirgskreis,0.04999999999999999
Essen,3.3333333333333335
Esslingen,4.923076923076923
Euskirchen,1.0555555555555558
Flensburg,0
Forchheim,0.6666666666666667
Frankenthal (Pfalz),9.5
Frankfurt (Oder),7.75
Frankfurt am Main,4.571428571428571
Freiburg im Breisgau,3
Freising,1.0769230769230769
Freudenstadt,1
Freyung-Grafenau,0.4444444444444444
Friesland,0
Fulda,0
Fürstenfeldbruck,1.1
Fürth,2.090909090909091
Garmisch-Partenkirchen,0.2727272727272727
Gelsenkirchen,4.25
Gera,2.8333333333333335
Germersheim,9.777777777777779
Gießen,0.41666666666666663
Gifhorn,1
Göppingen,2.2727272727272725
Görlitz,4.294117647058824
Goslar,0.1875
Gotha,0.5625
Göttingen,0.08
Grafschaft Bentheim,1
Greiz,2.0625
Groß-Gerau,6.5
Günzburg,1.5
Gütersloh,0.5333333333333334
Hagen,0
Halle (Saale),10.833333333333334
Hamburg,0.11111111111111108
Hameln-Pyrmont,0.6428571428571429
Hamm,1.8571428571428572
Harburg,0
Harz,1.8928571428571432
Haßberge,1.25
Havelland,7.821428571428571
Heidekreis,0.6785714285714284
Heidelberg,5.75
Heidenheim,1.6666666666666667
Heilbronn,4.68
Heinsberg,5.454545454545454
Helmstedt,2.2142857142857144
Herford,0.3
Herne,5
Hersfeld-Rotenburg,0
Herzogtum Lauenburg,0.16666666666666666
Hildburghausen,0.28571428571428575
Hildesheim,1.3500000000000003
Hochsauerlandkreis,0
Hochtaunuskreis,1.8888888888888888
Hof,0
Hohenlohekreis,2
Holzminden,0.07142857142857145
Höxter,0
Ilm-Kreis,0.15384615384615385
Ingolstadt,1
Jena,0.75
Jerichower Land,6.9523809523809526
Kaiserslautern,1.6111111111111112
Karlsruhe,8.625
Kassel,0
Kaufbeuren,1
Kelheim,1
Kempten (Allgäu),1
Kiel,0
Kitzingen,3.1538461538461537
Kleve,4.4
Koblenz,1
Köln,4.1
Konstanz,0.9166666666666666
Krefeld,5
Kronach,0
Kulmbach,0
Kusel,1.25
Kyffhäuserkreis,2.421052631578948
Lahn-Dill-Kreis,0.16666666666666669
Landau in der Pfalz,4.571428571428571
Landsberg am Lech,1
Landshut,1.2608695652173914
Leer,0.0625
Leipzig,10.8
Leverkusen,2.75
Lichtenfels,0.33333333333333337
Limburg-Weilburg,0
Lindau (Bodensee),2.166666666666667
Lippe,0.15
Lörrach,1
Lübeck,0.33333333333333337
Lüchow-Dannenberg,1.6363636363636362
Ludwigsburg,6.75
Ludwigshafen am Rhein,10
Ludwigslust-Parchim,1.3157894736842106
Lüneburg,0.17391304347826092
Magdeburg,7.833333333333333
Main-Kinzig-Kreis,1.5454545454545456
Main-Spessart,1.3500000000000003
Main-Tauber-Kreis,1.5
Main-Taunus-Kreis,3.3333333333333335
Mainz,6.166666666666667
Mainz-Bingen,5.066666666666666
Mannheim,9.2
Mansfeld-Südharz,3.285714285714286
Marburg-Biedenkopf,0
Märkisch-Oderland,7.391304347826087
Märkischer Kreis,0
Mayen-Koblenz,0.625
Mecklenburgische Seenplatte,2.540983606557377
Meißen,8.95
Memmingen,1
Merzig-Wadern,0.8888888888888888
Mettmann,1.625
Miesbach,0.6666666666666667
Miltenberg,1.0909090909090908
Minden-Lübbecke,1.263157894736842
Mittelsachsen,3.7407407407407414
Mönchengladbach,4.8
Mühldorf a. Inn,1.8571428571428572
Mülheim an der Ruhr,3.5
München,1.7619047619047619
Münster,0.14285714285714288
Neckar-Odenwald-Kreis,1.6842105263157894
Neu-Ulm,1.4444444444444444
Neuburg-Schrobenhausen,1.1428571428571428
Neumarkt i.d. OPf.,1
Neumünster,0
Neunkirchen,0.75
Neustadt a.d. Aisch-Bad Windsheim,2.4210526315789473
Neustadt a.d. Waldnaab,0.5
Neustadt an der Weinstraße,4.75
Neuwied,0.5833333333333334
Nienburg (Weser),2.1
Nordfriesland,0
Nordhausen,0
Nordsachsen,11.071428571428571
Nordwestmecklenburg,1.2916666666666665
Northeim,0.05555555555555554
Nürnberg,1.75
Nürnberger Land,0.6875
Oberallgäu,0.625
Oberbergischer Kreis,0
Oberhausen,5
Oberhavel,5.080000000000001
Oberspreewald-Lausitz,9.75
Odenwaldkreis,1.3
Oder-Spree,8.838709677419354
Offenbach,5.222222222222222
Offenbach am Main,5
Oldenburg,1
Oldenburg (Oldb),0.5
Olpe,0
Ortenaukreis,2.3888888888888884
Osnabrück,0.26315789473684215
Ostalbkreis,2.1
Ostallgäu,0.823529411764706
Osterholz,0.8666666666666666
Ostholstein,0.0588235294117647
Ostprignitz-Ruppin,3.9375
Paderborn,0.4
Passau,1.5294117647058822
Peine,2.4545454545454546
Pfaffenhofen a.d. Ilm,1
Pforzheim,3.75
Pinneberg,0.0588235294117647
Pirmasens,1.25
Plön,0
Potsdam,10.166666666666666
Potsdam-Mittelmark,8.3125
Prignitz,2.6
Rastatt,3.3999999999999995
Ravensburg,1
Recklinghausen,3.230769230769231
Regen,0.5714285714285714
Regensburg,1.08
Region Hannover,2.0357142857142856
Regionalverband Saarbrücken,1.3333333333333333
Rems-Murr-Kreis,4.4
Remscheid,0
Rendsburg-Eckernförde,0
Reutlingen,2.1333333333333337
Rhein-Erft-Kreis,4.733333333333333
Rhein-Hunsrück-Kreis,0.1875
Rhein-Kreis Neuss,4.75
Rhein-Lahn-Kreis,0.23076923076923073
Rhein-Neckar-Kreis,5.789473684210526
Rhein-Pfalz-Kreis,9.6
Rhein-Sieg-Kreis,1.368421052631579
Rheingau-Taunus-Kreis,0.8571428571428573
Rheinisch-Bergischer Kreis,0.7777777777777778
Rhön-Grabfeld,0.4666666666666666
Rosenheim,1.2608695652173911
Rostock,1.2727272727272727
Rotenburg (Wümme),0.28571428571428575
Roth,1.4666666666666666
Rottal-Inn,1.8125
Rottweil,0.8461538461538461
Saale-Holzland-Kreis,2.1428571428571432
Saale-Orla-Kreis,0
Saalekreis,9.545454545454545
Saalfeld-Rudolstadt,0
Saarlouis,1
Saarpfalz-Kreis,1
Sächsische Schweiz-Osterzgebirge,2.4210526315789473
Salzgitter,1.8333333333333333
Salzlandkreis,8.1
Schaumburg,1.3076923076923077
Schleswig-Flensburg,0
Schmalkalden-Meiningen,0.05555555555555553
Schwabach,2
Schwäbisch Hall,2.0476190476190474
Schwalm-Eder-Kreis,0
Schwandorf,0.9473684210526315
Schwarzwald-Baar-Kreis,0.2
Schweinfurt,2.0526315789473686
Schwerin,1.6
Segeberg,0.04999999999999999
Siegen-Wittgenstein,0
Sigmaringen,0.7777777777777778
Soest,0.894736842105263
Solingen,1.2
Sömmerda,3.846153846153846
Sonneberg,0
Speyer,12.666666666666666
Spree-Neiße,9.722222222222221
St. Wendel,0.4444444444444444
Stade,0
Städteregion Aachen,1.6363636363636362
Starnberg,1.1
Steinburg,0
Steinfurt,0.5925925925925926
Stendal,4.354838709677419
Stormarn,0.13333333333333333
Straubing,1.5
Straubing-Bogen,1.3888888888888888
Stuttgart,8.5
Südliche Weinstraße,5.416666666666666
Südwestpfalz,1.6923076923076923
Suhl,0
Teltow-Fläming,10.724137931034482
Tirschenreuth,0
Traunstein,1.3684210526315792
Trier,0.75
Trier-Saarburg,0.5625
Tübingen,4.3
Tuttlingen,0.5714285714285714
Uckermark,3.6
Uelzen,0.09523809523809523
Ulm,1.4
Unna,2
Unstrut-Hainich-Kreis,0.875
Unterallgäu,1
Vechta,0.8461538461538461
Verden,1.5625
Viersen,5
Vogelsbergkreis,0
Vogtlandkreis,0
Vorpommern-Greifswald,2.7346938775510203
Vorpommern-Rügen,0.8000000000000002
Vulkaneifel,0.07142857142857145
Waldeck-Frankenberg,0
Waldshut,0.38461538461538464
Warendorf,0.8421052631578947
Wartburgkreis,0.09523809523809523
Weiden i.d. OPf.,0.75
Weilheim-Schongau,0.8666666666666667
Weimar,1
Weimarer Land,1.6666666666666667
Weißenburg-Gunzenhausen,1.5333333333333332
Werra-Meißner-Kreis,0
Wesel,3.8
Wesermarsch,0.5384615384615385
Westerwaldkreis,0.2142857142857143
Wetteraukreis,1.8125
Wiesbaden,2.6666666666666665
Wilhelmshaven,0
Wittenberg,8.239999999999998
Wittmund,0
Wolfenbüttel,2.1875
Wolfsburg,1.7142857142857142
Worms,9.25
Wunsiedel i. Fichtelgebirge,0
Wuppertal,0
Würzburg,3.15
Zollernalbkreis,1.5714285714285716
Zweibrücken,1
Zwickau,2
